,Country,Total Cases,Total Deaths,Total Recovered
193,Burundi,15,7,1
194,Saint Kitts and Nevis,15,12,282
195,Falkland Islands,13,13,"3,736"
196,Turks and Caicos,12,6,310
197,Vatican City,12,2,"14,981"
198,Montserrat,11,7,1
199,Greenland,11,11,194
200,Seychelles,11,8,112
201,Suriname,10,9,17
202,MS Zaandam,9,7,
203,Comoros,8,7,1
204,Mauritania,8,6,2
205,Papua New Guinea,8,8,0.9
206,British Virgin Islands,7,3,232
207,Bhutan,7,5,9
208,Caribbean Netherlands,6,6,110
209,St. Barth,6,6,607
210,Western Sahara,6,5,10
211,Anguilla,3,3,200
212,Saint Pierre Miquelon,1,1,North America
213,China,"82,885","4,633 ",295
